physdx_cdrsb,npdx,npdx_nacc_uds_equivalent,algdx,ref_uri
"17.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.5","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","normal","naccudsd=2","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.5","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","normal","naccudsd=3","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.0","non-amnestic","nacctmci=3","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.5","non-amnestic","nacctmci=3","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","non-amnestic","nacctmci=3","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","non-amnestic","nacctmci=3","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.0","non-amnestic","nacctmci=3","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.0","non-amnestic","nacctmci=4","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.5","non-amnestic","nacctmci=4","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","non-amnestic","nacctmci=4","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","non-amnestic","nacctmci=4","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.0","non-amnestic","nacctmci=4","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.5","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","non-amnestic","nacctmci=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.5","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","non-amnestic","nacctmci=4","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.0","amnestic","nacctmci=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.5","amnestic","nacctmci=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","amnestic","nacctmci=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","amnestic","nacctmci=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.0","amnestic","nacctmci=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.0","amnestic","nacctmci=2","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.5","amnestic","nacctmci=2","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","amnestic","nacctmci=2","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","amnestic","nacctmci=2","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.0","amnestic","nacctmci=2","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","amnestic","nacctmci=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","amnestic","nacctmci=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","amnestic","nacctmci=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","amnestic","nacctmci=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","amnestic","nacctmci=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","amnestic","nacctmci=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","amnestic","nacctmci=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","amnestic","nacctmci=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.5","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","amnestic","nacctmci=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.5","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","amnestic","nacctmci=2","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.0","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.5","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.0","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","dementia","demented=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
